,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
94,1629890209267,1629891020472,1629891770380,1629895680520,1629896693585,1629897856617,1629903586892,1629904610973,1629905236079
95,1629890244981,1629891050310,1629891801626,1629895721673,1629896725279,1629897885894,1629903617798,1629904646005,1629905266337
96,1629890247394,1629891052949,1629891804164,1629895724126,1629896727511,1629897888174,1629903620328,1629904648131,1629905269777
97,1629890256385,1629891066277,1629891808963,1629895732424,1629896731560,1629897893016,1629903625642,1629904652770,1629905277143
98,1629890259391,1629891068755,1629891811294,1629895734270,1629896734269,1629897895260,1629903628250,1629904657593,1629905279683
99,1629890263403,1629891073824,1629891815473,1629895740803,1629896738218,1629897899828,1629903631848,1629904661590,1629905282671
100,1629978076150,1629978424015,1629978785425,1629982810313,1629983251302,1629984485106,1629988161388,1629988612077,1629989538988
101,1629978077552,1629978425043,1629978786558,1629982811381,1629983252231,1629984486575,1629988163870,1629988613441,1629989539999
102,1629978081645,1629978428563,1629978790359,1629982816490,1629983256693,1629984491338,1629988169009,1629988620229,1629989543960
103,1629978082354,1629978429352,1629978791205,1629982817245,1629983257586,1629984492436,1629988170023,1629988621049,1629989545593
104,1629978106234,1629978455934,1629978817196,1629982848747,1629983288562,1629984516796,1629988200720,1629988647006,1629989569918
105,1629978108505,1629978458291,1629978819316,1629982850990,1629983291133,1629984519294,1629988202986,1629988649257,1629989572073
106,1629978112850,1629978462553,1629978824850,1629982856456,1629983296224,1629984528924,1629988210676,1629988654758,1629989580194
107,1629978115157,1629978464453,1629978828061,1629982858394,1629983298289,1629984531064,1629988213541,1629988656949,1629989581995
108,1629978117370,1629978466493,1629978831557,1629982860777,1629983300440,1629984534079,1629988216965,1629988659444,1629989584611
109,1629953919771,1629954521147,1629955001340,1629959920399,1629961007154,1629961545760,1629965024075,1629965655557,1629966033404
110,1629953920479,1629954522006,1629955002899,1629959921071,1629961008098,1629961546356,1629965024733,1629965656866,1629966034074
111,1629953927962,1629954525875,1629955006765,1629959928749,1629961013504,1629961550336,1629965028464,1629965662149,1629966041438
112,1629953930108,1629954526709,1629955007436,1629959929711,1629961014186,1629961551220,1629965029212,1629965662856,1629966042190
113,1629953956857,1629954552356,1629955030710,1629959955287,1629961038749,1629961576356,1629965055280,1629965698377,1629966067122
114,1629953958894,1629954554311,1629955032802,1629959957078,1629961040609,1629961578557,1629965057086,1629965700134,1629966069237
115,1629953963707,1629954558969,1629955039142,1629959961237,1629961044585,1629961582697,1629965062994,1629965705036,1629966072744
116,1629953965362,1629954560476,1629955040559,1629959962785,1629961046775,1629961584303,1629965064669,1629965706956,1629966074277
117,1629953968723,1629954563183,1629955043873,1629959966119,1629961049609,1629961588357,1629965068243,1629965710478,1629966077640
118,1630036263794,1630036919806,1630037296620,1630039772415,1630040161785,1630040544494,1630043207877,1630043714639,1630044188269
119,1630036265424,1630036920766,1630037297658,1630039773522,1630040162950,1630040545569,1630043209314,1630043715845,1630044189930
120,1630036270755,1630036925036,1630037302600,1630039778607,1630040168282,1630040551132,1630043222859,1630043722041,1630044195706
121,1630036272015,1630036926027,1630037303541,1630039779686,1630040169394,1630040552107,1630043223917,1630043723306,1630044196711
122,1630036299623,1630036952788,1630037334092,1630039805357,1630040199912,1630040582961,1630043253232,1630043758481,1630044224974
123,1630036302416,1630036955181,1630037336928,1630039807963,1630040202310,1630040585516,1630043256133,1630043761835,1630044228330
124,1630036305676,1630036958482,1630037341088,1630039811282,1630040206308,1630040588735,1630043259849,1630043766451,1630044231943
125,1630036307973,1630036961457,1630037343786,1630039813892,1630040209300,1630040592219,1630043262867,1630043768825,1630044235179
126,1630036312192,1630036964002,1630037346646,1630039818591,1630040214209,1630040595564,1630043265986,1630043772809,1630044238646
127,1629947885860,1629948606478,1629948951145,1629953663731,1629954037519,1629954408134,1629957573914,1629958007860,1629958562417
128,1629947887099,1629948607780,1629948952225,1629953665097,1629954039514,1629954410173,1629957574926,1629958009314,1629958563318
129,1629947890996,1629948612076,1629948956223,1629953671795,1629954047698,1629954416070,1629957580550,1629958015091,1629958568546
130,1629947891756,1629948612761,1629948956911,1629953672820,1629954048586,1629954417075,1629957581336,1629958016080,1629958569338
