,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
57,1630036319475,1630036971202,1630037353226,1630039827004,1630040223036,1630040603211,1630043273389,1630043844161,1630044247475
58,1630036320751,1630036972452,1630037354200,1630039828063,1630040224097,1630040604319,1630043275088,1630043845425,1630044249021
59,1630036325426,1630036976441,1630037359266,1630039832998,1630040229452,1630040608807,1630043279355,1630043850303,1630044253783
60,1630036326480,1630036977452,1630037360436,1630039834225,1630040231004,1630040609911,1630043280502,1630043851110,1630044254911
61,1630036335828,1630036987695,1630037370969,1630039844431,1630040240638,1630040620078,1630043298137,1630043863851,1630044268170
62,1630036340875,1630036991045,1630037375225,1630039848789,1630040245609,1630040624477,1630043302143,1630043867596,1630044274807
63,1630036343385,1630036994326,1630037378256,1630039851063,1630040248950,1630040627226,1630043305541,1630043871084,1630044278035
64,1630036354192,1630037004686,1630037388231,1630039861492,1630040260881,1630040638034,1630043316420,1630043882053,1630044289005
65,1630036356035,1630037007170,1630037391480,1630039863802,1630040263352,1630040639970,1630043318986,1630043884273,1630044290968
66,1630036360196,1630037010760,1630037394156,1630039866672,1630040266848,1630040643255,1630043323204,1630043887731,1630044296000
67,1630036366911,1630037017298,1630037401240,1630039875368,1630040275484,1630040650569,1630043331818,1630043895382,1630044303266
68,1630036368134,1630037018235,1630037402327,1630039876593,1630040276516,1630040651696,1630043332924,1630043896574,1630044304517
69,1630036388809,1630037036655,1630037422902,1630039898088,1630040298260,1630040675533,1630043354726,1630043915098,1630044331175
70,1630036393055,1630037038630,1630037425065,1630039900015,1630040300455,1630040678113,1630043356749,1630043917817,1630044335800
71,1629947933101,1629948655322,1629949001052,1629953719700,1629954095451,1629954466683,1629957627185,1629958068599,1629958619509
72,1629947934502,1629948656560,1629949002254,1629953721022,1629954096656,1629954467893,1629957628236,1629958070167,1629958621038
73,1629947938708,1629948660432,1629949006318,1629953726410,1629954101149,1629954472541,1629957632629,1629958074482,1629958625970
74,1629947939558,1629948661182,1629949007154,1629953727399,1629954101936,1629954473315,1629957633568,1629958075205,1629958626724
75,1629947950725,1629948670925,1629949017818,1629953739261,1629954112887,1629954484190,1629957648257,1629958091874,1629958642338
76,1629947955229,1629948677927,1629949020930,1629953746692,1629954117704,1629954488606,1629957653073,1629958095782,1629958649195
77,1629947957409,1629948679737,1629949023073,1629953748875,1629954120010,1629954491024,1629957655860,1629958098500,1629958651359
78,1629947967891,1629948689879,1629949034278,1629953759618,1629954131456,1629954503451,1629957666061,1629958110559,1629958663438
79,1629947970828,1629948692991,1629949037289,1629953762312,1629954134180,1629954506449,1629957668678,1629958113951,1629958665072
80,1629947974059,1629948693491,1629949038143,1629953765593,1629954139234,1629954521497,1629957671877,1629958117545,1629958669533
81,1629947979579,1629948699803,1629949043805,1629953774688,1629954145419,1629954528118,1629957679357,1629958125374,1629958678449
82,1629947980308,1629948700540,1629949044601,1629953775554,1629954146273,1629954528905,1629957680178,1629958126374,1629958679260
